,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
80047,4.68,245.08681283,-78.69565609,4.26,-9.91,-36.59,16.339120855333334,1991.25,Apus
80079,4.55,245.15909758,-24.16928427,2.77,-4.23,-14.71,16.343939838666667,1991.25,Scorpius
80112,2.9,245.29717718,-25.59275259,4.44,-10.03,-18.03,16.353145145333333,1991.25,Scorpius
80170,3.74,245.48018203,19.15302185,16.69,-47.44,44.61,16.365345468666668,1991.25,Hercules
80179,4.82,245.51850007,1.02892219,36.56,-156.01,48.09,16.367900004666666,1991.25,Serpens
80181,4.86,245.52454222,30.89173424,17.76,-97.35,107.68,16.368302814666666,1991.25,Corona Borealis
80331,2.73,245.99794523,61.51407536,37.18,-16.98,56.68,16.399863015333334,1991.25,Draco
80343,4.48,246.02582204,-20.03721137,18.32,-21.48,-47.53,16.401721469333335,1991.25,Ophiucus
80463,4.57,246.35387324,14.03341514,13.87,39.39,-59.89,16.423591549333334,1991.25,Hercules
80473,4.57,246.39633811,-23.44711764,8.27,-5.61,-25.04,16.426422540666668,1991.25,Ophiucus
80569,4.22,246.75599294,-18.45619698,6.67,-5.58,-22.22,16.450399529333332,1991.25,Ophiucus
80582,4.46,246.79603256,-47.5547359,8.16,-13.72,-20.63,16.453068837333333,1991.25,Norma
80628,4.62,246.95094563,-8.37170055,26.67,-67.26,-12.6,16.463396375333335,1991.25,Ophiucus
80650,4.94,246.99605488,68.76805491,6.64,-24.53,33.82,16.466403658666668,1991.25,Draco
80686,4.9,247.11583852,-70.08467012,82.61,199.89,110.77,16.474389234666667,1991.25,Triangulum Australe
80704,4.83,247.1605205,41.88169065,9.03,29.15,-5.51,16.47736803333333,1991.25,Hercules
80763,1.06,247.35194804,-26.43194608,5.4,-10.16,-23.21,16.490129869333334,1991.25,Scorpius
80815,4.79,247.55199128,-25.11515935,8.3,-3.42,-26.52,16.503466085333333,1991.25,Scorpius
80816,2.78,247.55525697,21.4896485,22.07,-98.43,-14.49,16.503683798,1991.25,Hercules
80883,3.82,247.72850509,1.98410056,19.63,-31.37,-73.0,16.515233672666668,1991.25,Ophiucus
80894,4.29,247.78497886,-16.61264015,15.53,-44.57,-38.04,16.518998590666666,1991.25,Ophiucus
80911,4.24,247.84558957,-34.70432087,4.37,-11.51,-18.56,16.523039304666664,1991.25,Scorpius
80975,4.45,248.03411079,-21.46647783,18.66,20.21,36.23,16.535607386,1991.25,Ophiucus
81008,4.84,248.15165942,11.48823391,10.29,-178.38,-79.16,16.54344396133333,1991.25,Hercules
81065,3.86,248.36443409,-78.89695917,20.44,-125.68,-77.59,16.557628939333334,1991.25,Apus
81122,4.86,248.52091772,-44.04530868,0.7,0.52,-2.53,16.568061181333334,1991.25,Norma
81126,4.2,248.52578863,42.43689565,10.79,-9.03,59.8,16.568385908666666,1991.25,Hercules
81266,2.82,248.97066423,-28.21596156,7.59,-8.59,-22.5,16.598044282,1991.25,Scorpius
81304,4.18,249.09358718,-35.25535553,9.63,14.72,12.14,16.606239145333333,1991.25,Scorpius
81377,2.54,249.28970847,-10.5671518,7.12,13.07,25.44,16.619313897999998,1991.25,Ophiucus
81497,4.86,249.68703338,48.92827739,8.67,-48.1,26.81,16.645802225333334,1991.25,Hercules
81660,4.84,250.22966425,64.58908555,4.79,-0.04,-16.18,16.681977616666668,1991.25,Draco
81693,2.81,250.32282132,31.60188695,92.63,-462.58,345.05,16.688188088,1991.25,Hercules
81724,4.91,250.39331786,-17.74216462,8.34,-21.66,-0.92,16.692887857333332,1991.25,Ophiucus
81833,3.48,250.72391068,38.92246103,29.11,35.58,-84.98,16.714927378666665,1991.25,Hercules
81852,4.23,250.7725818,-77.51657182,20.69,-282.83,-355.03,16.718172120000002,1991.25,Apus
82020,4.84,251.3241238,56.78168723,37.41,26.31,69.96,16.754941586666668,1991.25,Draco
82080,4.21,251.49233961,82.03725071,9.41,19.54,4.67,16.766155974,1991.25,Ursa Minor
82273,1.91,252.16610742,-69.02763503,7.85,17.85,-32.92,16.811073828,1991.25,Triangulum Australe
82321,4.82,252.3091638,45.9834478,18.62,22.78,-51.37,16.82061092,1991.25,Hercules
82363,3.77,252.44629764,-59.04131648,10.41,39.59,-25.28,16.829753176,1991.25,Ara
82369,4.64,252.45822137,-10.78280069,27.04,93.7,-81.94,16.830548091333334,1991.25,Ophiucus
82396,2.29,252.54268738,-34.29260982,49.85,-611.83,-255.87,16.836179158666667,1991.25,Scorpius
82514,3.0,252.96766195,-38.04732717,3.97,-8.84,-21.6,16.864510796666668,1991.25,Scorpius
82545,3.56,253.08397295,-38.01747781,6.31,-12.92,-23.8,16.872264863333335,1991.25,Scorpius
82671,4.7,253.49886366,-42.36201968,-1.13,-0.48,-2.17,16.899924244,1991.25,Scorpius
82673,4.39,253.50209743,10.16544339,13.95,-53.75,-34.68,16.900139828666667,1991.25,Ophiucus
82729,3.62,253.64627156,-42.36075916,21.67,-126.55,-227.77,16.909751437333334,1991.25,Scorpius
82860,4.88,254.00566477,65.13467204,66.28,238.05,50.84,16.933710984666668,1991.25,Draco
83000,3.19,254.41779418,9.37505626,37.99,-293.03,-9.7,16.961186278666666,1991.25,Ophiucus
83081,3.12,254.65512817,-55.99005508,5.68,-18.31,-35.29,16.977008544666667,1991.25,Ara
83153,4.06,254.89602773,-53.16049005,10.72,1.12,21.53,16.99306851533333,1991.25,Ara
83207,3.92,255.07252582,30.92633926,20.04,-47.68,26.89,17.004835054666668,1991.25,Hercules
83262,4.82,255.26510631,-4.22245426,8.11,-40.28,-77.92,17.017673754,1991.25,Ophiucus
83430,4.97,255.78273333,14.0921003,7.97,25.96,-63.21,17.052182222000003,1991.25,Hercules
